label,metric,metric_label,iteration,mean,std
Variance x SNR,train/ir_person,ImageReward,15,-0.03358546644449234,0.12913944572210312
Variance x SNR,train/ir_person,ImageReward,16,0.0522411516867578,0.04126996034756303
Variance x SNR,train/ir_person,ImageReward,17,0.19896115362644196,0.08482356369495392
Variance x SNR,train/ir_person,ImageReward,18,0.28810252249240875,0.1600808948278427
Variance x SNR,train/ir_person,ImageReward,19,0.33079374581575394,0.09241383522748947
Variance x SNR,train/ir_person,ImageReward,20,0.3185330629348755,0.14025598764419556
Variance x SNR,train/ir_person,ImageReward,21,0.23253693245351315,0.1901580784469843
Variance x SNR,train/ir_person,ImageReward,22,0.2395949773490429,0.27940602973103523
Variance x SNR,train/ir_person,ImageReward,23,0.12536713480949402,0.1794711947441101
Variance x SNR,train/ir_person,ImageReward,24,0.2295847423374653,0.1662708930671215
Variance x SNR,train/ir_person,ImageReward,25,0.3775224983692169,0.0921805202960968
Variance x SNR,train/ir_person,ImageReward,26,0.43911534547805786,0.07695615291595459
Variance x SNR,train/ir_person,ImageReward,27,0.41621309518814087,0.018833130598068237
Variance x SNR,train/ir_person,ImageReward,28,0.4632555842399597,0.024869650602340698
Variance x SNR,train/ir_person,ImageReward,29,0.5290809869766235,0.07612919807434082
Variance x SNR,train/ir_person,ImageReward,30,0.6897234469652176,0.21982823312282562
Variance x SNR,train/ir_person,ImageReward,31,0.7155734002590179,0.19248750805854797
Variance x SNR,train/ir_person,ImageReward,32,0.7242212295532227,0.13396722078323364
Variance x SNR,train/ir_person,ImageReward,33,0.6425792872905731,0.07377079129219055
Variance x SNR,train/ir_person,ImageReward,34,0.6222577095031738,0.1347445249557495
Variance x SNR,train/ir_person,ImageReward,35,0.6596745252609253,0.05235940217971802
Variance x SNR,train/ir_person,ImageReward,36,0.6973318755626678,0.07018682360649109
Variance x SNR,train/ir_person,ImageReward,37,0.7688866555690765,0.0033050477504730225
Variance x SNR,train/ir_person,ImageReward,38,0.8298914134502411,0.10996559262275696
Variance x SNR,train/ir_person,ImageReward,39,0.9168331921100616,0.06855866312980652
Variance x SNR,train/ir_person,ImageReward,40,0.9858853220939636,0.06610292196273804
Variance x SNR,train/ir_person,ImageReward,41,0.9971385300159454,0.04229089617729187
Variance x SNR,train/ir_person,ImageReward,42,1.034541755914688,0.061247676610946655
Variance x SNR,train/ir_person,ImageReward,43,1.1166217923164368,0.0014567971229553223
Variance x SNR,train/ir_person,ImageReward,44,1.1463291645050049,0.03430211544036865
Variance x SNR,train/ir_person,ImageReward,45,1.201028287410736,0.03394085168838501
Variance x SNR,train/ir_person,ImageReward,46,1.1817938685417175,0.04804915189743042
Variance x SNR,train/ir_person,ImageReward,47,1.2189947962760925,0.025021135807037354
Variance x SNR,train/ir_person,ImageReward,48,1.2481841444969177,0.030929863452911377
Variance x SNR,train/ir_person,ImageReward,49,1.2503570914268494,0.027094662189483643
Variance x SNR,train/ir_person,ImageReward,50,1.290375828742981,0.03648495674133301
Variance x SNR,train/ir_person,ImageReward,51,1.3269290924072266,0.028651714324951172
Variance x SNR,train/ir_person,ImageReward,52,1.3474323749542236,0.0636906623840332
Variance x SNR,train/ir_person,ImageReward,53,1.3511609435081482,0.05173593759536743
Variance x SNR,train/ir_person,ImageReward,54,1.349023699760437,0.04572272300720215
Variance x SNR,train/ir_person,ImageReward,55,1.349427878856659,0.0007362961769104004
Variance x SNR,train/ir_person,ImageReward,56,1.355162262916565,0.040669918060302734
Variance x SNR,train/ir_person,ImageReward,57,1.3695681691169739,0.03968387842178345
Variance x SNR,train/ir_person,ImageReward,58,1.3767396211624146,0.02735579013824463
Variance x SNR,train/ir_person,ImageReward,59,1.4027278423309326,0.03723645210266113
Variance x SNR,train/ir_person,ImageReward,60,1.4659427404403687,0.012787580490112305
Variance x SNR,train/ir_person,ImageReward,61,1.4417527318000793,0.0011923909187316895
Variance x SNR,train/ir_person,ImageReward,62,1.4109273552894592,0.06190270185470581
Variance x SNR,train/ir_person,ImageReward,63,1.424729347229004,0.059970855712890625
Variance x SNR,train/ir_person,ImageReward,64,1.4022446274757385,0.07723349332809448
Variance x SNR,train/ir_person,ImageReward,65,1.42570561170578,0.029356777667999268
Variance x SNR,train/ir_person,ImageReward,66,1.444376528263092,0.007388055324554443
Variance x SNR,train/ir_person,ImageReward,67,1.4245458841323853,0.0003541707992553711
Variance x SNR,train/ir_person,ImageReward,68,1.4016063213348389,0.009992837905883789
Variance x SNR,train/ir_person,ImageReward,69,1.4041905403137207,0.017699003219604492
Variance x SNR,train/ir_person,ImageReward,70,1.4188578724861145,0.030462205410003662
Variance x SNR,train/ir_person,ImageReward,71,1.4748687744140625,0.015639185905456543
Variance x SNR,train/ir_person,ImageReward,72,1.4765135645866394,0.022334277629852295
Variance x SNR,train/ir_person,ImageReward,73,1.5090698599815369,0.009800493717193604
Variance x SNR,train/ir_person,ImageReward,74,1.489586889743805,0.026357829570770264
Variance x SNR,train/ir_person,ImageReward,75,1.5263347029685974,0.03276294469833374
Variance x SNR,train/ir_person,ImageReward,76,1.5411295294761658,0.026027143001556396
Variance x SNR,train/ir_person,ImageReward,77,1.5541563630104065,0.026507437229156494
Variance x SNR,train/ir_person,ImageReward,78,1.5667880773544312,0.0067865848541259766
Variance x SNR,train/ir_person,ImageReward,79,1.5738107562065125,0.004055202007293701
Variance x SNR,train/ir_person,ImageReward,80,1.5655140280723572,0.0045645833015441895
Variance x SNR,train/ir_person,ImageReward,81,1.560332715511322,0.04484003782272339
Variance x SNR,train/ir_person,ImageReward,82,1.5490863919258118,0.05484431982040405
Variance x SNR,train/ir_person,ImageReward,83,1.4604490399360657,0.10381478071212769
Variance x SNR,train/ir_person,ImageReward,84,1.4610109329223633,0.07381772994995117
