timestep,metric,avg_deviation,variance,d_avg_deviation_diff,d_variance_diff,d_avg_deviation_grad,d_variance_grad
760,ir_person,0.4579246939017321,0.19580599100415558,0.0029378983831556934,0.0019305129624467912,0.002176407495258899,0.0010820172847826749
780,ir_person,0.516682661564846,0.2344162502530914,0.0019613847219006886,0.0026076372801663293,0.002449641552528191,0.00226907512130656
800,ir_person,0.5559103560028598,0.286568995856418,1.3647802748883998e-05,-0.0012836617329782223,0.0009875162623247864,0.0006619877735940533
820,ir_person,0.5561833120578374,0.26089576119685354,0.000424421012336107,-0.0009124830896978436,0.00021903440754249547,-0.001098072411338033
840,ir_person,0.5646717323045596,0.24264609940289666,0.0011555709963722571,0.0024181755421889078,0.000789996004354182,0.0007528462262455321
860,ir_person,0.5877831522320047,0.2910096102466748,0.0011124936305277554,-0.0012233215403365833,0.0011340323134500063,0.0005974270009261623
880,ir_person,0.6100330248425598,0.26654317943994316,0.0005491502066288345,0.002325781364822882,0.0008308219185782951,0.0005512299122431494
900,ir_person,0.6210160289751365,0.3130588067364008,5.281162826576979e-05,0.0001389746152660243,0.00030098091744730217,0.001232377990044453
920,ir_person,0.6220722615404519,0.3158382990417213,0.0036846040080126875,-0.001407613369598415,0.0018687078181392285,-0.0006343193771661954
940,ir_person,0.6957643417007057,0.287686031649753,-0.00020491138103533867,0.0027307852087339298,0.0017398463134886744,0.0006615859195677574
960,ir_person,0.6916661140799989,0.3423017358244316,0.0011738479486084474,0.00043900460559163077,0.00048446828378655437,0.0015848949071627801
980,ir_person,0.7151430730521678,0.3510818279362642,,,0.0011738479486084474,0.00043900460559163077
0,sex_score,5.089331418275491e-05,3.935272176473333e-09,8.387878653593287e-06,3.7074608998574117e-09,8.387878653593287e-06,3.7074608998574117e-09
20,sex_score,0.00021865088725462066,7.808449017362156e-08,2.589979092590592e-06,5.255056432945879e-09,5.48892887309194e-06,4.481258666401645e-09
40,sex_score,0.0002704504691064325,1.8318561883253913e-07,2.8171892045065457e-06,7.905314442569336e-09,2.703584148548569e-06,6.580185437757607e-09
60,sex_score,0.0003267942531965634,3.4129190768392584e-07,4.2292453581469455e-06,1.6311389043027667e-08,3.523217281326746e-06,1.2108351742798501e-08
80,sex_score,0.00041137916035950234,6.675196885444791e-07,2.4808312300590874e-06,3.179009681976227e-09,3.3550382941030164e-06,9.745199362501947e-09
100,sex_score,0.0004609957849606841,7.310998821840037e-07,5.361768882721862e-06,2.4644869590573263e-08,3.921300056390475e-06,1.3911939636274745e-08
120,sex_score,0.0005682311626151213,1.223997273995469e-06,1.4774700393900217e-06,1.5700397864522986e-08,3.419619461055942e-06,2.0172633727548124e-08
140,sex_score,0.0005977805634029218,1.5380052312859286e-06,-3.635897301139358e-07,-9.964750239542549e-09,5.569401546380429e-07,2.8678238124902185e-09
160,sex_score,0.000590508768800643,1.3387102264950777e-06,-1.4199248980730298e-06,-2.5413382982144956e-08,-8.917573140934827e-07,-1.7689066610843754e-08
180,sex_score,0.0005621102708391825,8.304425668521785e-07,2.9509485466407136e-06,4.2651697547397196e-08,7.65511824283842e-07,8.61915728262612e-09
200,sex_score,0.0006211292417719967,1.6834765178001225e-06,1.7464021220792397e-07,-1.7895000802525547e-08,1.5627943794243188e-06,1.2378348372435824e-08
220,sex_score,0.0006246220460161552,1.3255765017496115e-06,1.3193946797400782e-06,-2.1272621624230362e-09,7.470174459740011e-07,-1.0011131482474293e-08
240,sex_score,0.0006510099396109568,1.2830312585011508e-06,2.6455532060937128e-06,9.286212720532295e-09,1.9824739429168956e-06,3.579475279054629e-09
260,sex_score,0.000703921003732831,1.4687555129117967e-06,-1.357976230792772e-06,6.962020432627387e-09,6.437884876504704e-07,8.124116576579841e-09
280,sex_score,0.0006767614791169756,1.6079959215643444e-06,-3.2124598510551795e-07,-1.5272091230393774e-08,-8.396111079491449e-07,-4.155035398883193e-09
300,sex_score,0.0006703365594148652,1.302554096956469e-06,0.00012458868953399345,0.00010622168941249312,6.213372177444397e-05,5.3103208660631365e-05
320,sex_score,0.0031621103500947345,0.002125736342346819,-0.00011428329267073426,-0.00010606498784741947,5.1526984316295985e-06,7.835078253682737e-08
340,sex_score,0.0008764444966800492,4.436585398429564e-06,1.0860306560061757e-05,5.891104734100983e-07,-5.171149305533626e-05,-5.2737938687004686e-05
360,sex_score,0.0010936506278812843,1.621879486663153e-05,3.867806750350018e-06,-8.318535076971314e-09,7.364056655205888e-06,2.903959691665635e-07
380,sex_score,0.0011710067628882847,1.6052424165092103e-05,0.00012883943540509761,0.000110094683113593,6.635362107772383e-05,5.5043182289258024e-05
